
=====================================
Problem:rosenbrock,  Algorithm:steepestbacktrack,  Initation:( 2.000  4.000 )'
=====================================
Iter  	gnorm     	alpha       x     
0     	5.862e-01 	2.441e-04 	( 2.000e+00  4.000e+00 )
1     	9.046e-01 	9.766e-04 	( 2.000e+00  4.000e+00 )
2     	5.020e-01 	2.441e-04 	( 1.999e+00  4.000e+00 )
3     	1.669e+00 	3.906e-03 	( 1.999e+00  3.999e+00 )
4     	5.558e-01 	2.441e-04 	( 1.999e+00  3.997e+00 )
5     	7.950e-01 	9.766e-04 	( 1.999e+00  3.997e+00 )
6     	4.965e-01 	2.441e-04 	( 1.998e+00  3.997e+00 )
7     	1.407e+00 	3.906e-03 	( 1.999e+00  3.997e+00 )
8     	5.345e-01 	2.441e-04 	( 1.999e+00  3.995e+00 )
9     	7.125e-01 	9.766e-04 	( 1.998e+00  3.995e+00 )
10    	1.303e+00 	9.766e-04 	( 1.998e+00  3.995e+00 )
11    	5.268e-01 	2.441e-04 	( 1.998e+00  3.994e+00 )
12    	6.811e-01 	9.766e-04 	( 1.998e+00  3.994e+00 )
13    	1.209e+00 	9.766e-04 	( 1.998e+00  3.994e+00 )
14    	5.203e-01 	2.441e-04 	( 1.998e+00  3.993e+00 )
15    	2.374e+00 	3.906e-03 	( 1.998e+00  3.993e+00 )
16    	6.284e-01 	2.441e-04 	( 1.997e+00  3.991e+00 )
17    	1.045e+00 	9.766e-04 	( 1.997e+00  3.991e+00 )
18    	5.098e-01 	2.441e-04 	( 1.997e+00  3.990e+00 )
19    	2.006e+00 	3.906e-03 	( 1.997e+00  3.990e+00 )
20    	5.895e-01 	2.441e-04 	( 1.996e+00  3.989e+00 )
21    	9.155e-01 	9.766e-04 	( 1.996e+00  3.988e+00 )
22    	5.023e-01 	2.441e-04 	( 1.997e+00  3.988e+00 )
23    	1.708e+00 	3.906e-03 	( 1.996e+00  3.988e+00 )
24    	5.610e-01 	2.441e-04 	( 1.995e+00  3.986e+00 )
25    	8.142e-01 	9.766e-04 	( 1.996e+00  3.986e+00 )
26    	4.970e-01 	2.441e-04 	( 1.996e+00  3.985e+00 )
27    	1.465e+00 	3.906e-03 	( 1.996e+00  3.985e+00 )
28    	5.402e-01 	2.441e-04 	( 1.995e+00  3.984e+00 )
29    	7.354e-01 	9.766e-04 	( 1.995e+00  3.983e+00 )
30    	1.365e+00 	9.766e-04 	( 1.995e+00  3.983e+00 )
31    	5.323e-01 	2.441e-04 	( 1.995e+00  3.983e+00 )
32    	7.042e-01 	9.766e-04 	( 1.995e+00  3.982e+00 )
33    	1.275e+00 	9.766e-04 	( 1.995e+00  3.982e+00 )
34    	5.254e-01 	2.441e-04 	( 1.994e+00  3.982e+00 )
35    	6.764e-01 	9.766e-04 	( 1.995e+00  3.981e+00 )
36    	1.192e+00 	9.766e-04 	( 1.995e+00  3.981e+00 )
37    	5.195e-01 	2.441e-04 	( 1.994e+00  3.980e+00 )
38    	2.368e+00 	3.906e-03 	( 1.994e+00  3.980e+00 )
39    	6.295e-01 	2.441e-04 	( 1.995e+00  3.978e+00 )
40    	1.046e+00 	9.766e-04 	( 1.994e+00  3.978e+00 )
41    	5.099e-01 	2.441e-04 	( 1.994e+00  3.978e+00 )
42    	2.037e+00 	3.906e-03 	( 1.994e+00  3.978e+00 )
43    	5.939e-01 	2.441e-04 	( 1.994e+00  3.976e+00 )
44    	9.293e-01 	9.766e-04 	( 1.993e+00  3.976e+00 )
45    	5.029e-01 	2.441e-04 	( 1.993e+00  3.975e+00 )
46    	1.763e+00 	3.906e-03 	( 1.993e+00  3.975e+00 )
47    	5.670e-01 	2.441e-04 	( 1.993e+00  3.973e+00 )
48    	8.357e-01 	9.766e-04 	( 1.993e+00  3.973e+00 )
49    	4.978e-01 	2.441e-04 	( 1.992e+00  3.973e+00 )
